species,year,views
Thrichomys_apereoides,2023,2252
Thrichomys_apereoides,2024,2189
Thrichomys_apereoides,2025,1915
Thrichomys_apereoides,2026,193
Thrichomys_inermis,2015,48
Thrichomys_inermis,2016,74
Thrichomys_inermis,2017,68
Thrichomys_inermis,2018,103
Thrichomys_inermis,2019,126
Thrichomys_inermis,2020,96
Thrichomys_inermis,2021,87
Thrichomys_inermis,2022,90
Thrichomys_inermis,2023,110
Thrichomys_inermis,2024,146
Thrichomys_inermis,2025,121
Thrichomys_inermis,2026,22
Thrichomys_laurentius,2015,N/A
Thrichomys_laurentius,2016,N/A
Thrichomys_laurentius,2017,N/A
Thrichomys_laurentius,2018,N/A
Thrichomys_laurentius,2019,N/A
Thrichomys_laurentius,2020,N/A
Thrichomys_laurentius,2021,N/A
Thrichomys_laurentius,2022,170
Thrichomys_laurentius,2023,217
Thrichomys_laurentius,2024,200
Thrichomys_laurentius,2025,236
Thrichomys_laurentius,2026,19
Trinomys_albispinus,2015,34
Trinomys_albispinus,2016,70
Trinomys_albispinus,2017,79
Trinomys_albispinus,2018,65
Trinomys_albispinus,2019,83
Trinomys_albispinus,2020,77
Trinomys_albispinus,2021,60
Trinomys_albispinus,2022,83
Trinomys_albispinus,2023,79
Trinomys_albispinus,2024,97
Trinomys_albispinus,2025,128
Trinomys_albispinus,2026,14
Trinomys_yonenagae,2015,20
Trinomys_yonenagae,2016,37
Trinomys_yonenagae,2017,40
Trinomys_yonenagae,2018,39
Trinomys_yonenagae,2019,38
Trinomys_yonenagae,2020,37
Trinomys_yonenagae,2021,12
Trinomys_yonenagae,2022,33
Trinomys_yonenagae,2023,39
Trinomys_yonenagae,2024,48
Trinomys_yonenagae,2025,83
Trinomys_yonenagae,2026,6
Wiedomys_cerradensis,2015,29
Wiedomys_cerradensis,2016,68
Wiedomys_cerradensis,2017,90
Wiedomys_cerradensis,2018,92
Wiedomys_cerradensis,2019,102
Wiedomys_cerradensis,2020,79
Wiedomys_cerradensis,2021,77
Wiedomys_cerradensis,2022,104
Wiedomys_cerradensis,2023,115
Wiedomys_cerradensis,2024,135
Wiedomys_cerradensis,2025,165
Wiedomys_cerradensis,2026,13
Wiedomys_pyrrhorhinos,2015,76
Wiedomys_pyrrhorhinos,2016,140
Wiedomys_pyrrhorhinos,2017,224
Wiedomys_pyrrhorhinos,2018,253
Wiedomys_pyrrhorhinos,2019,230
Wiedomys_pyrrhorhinos,2020,313
Wiedomys_pyrrhorhinos,2021,297
Wiedomys_pyrrhorhinos,2022,341
Wiedomys_pyrrhorhinos,2023,395
Wiedomys_pyrrhorhinos,2024,318
Wiedomys_pyrrhorhinos,2025,253
Wiedomys_pyrrhorhinos,2026,15
