Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Book Series Titles,Book Series Titles_Count
2001.0,2.0,,,"de Camargo, Amabilio J. A.",2,,,,,,,,,,,UNIVERSITY OF WISCONSIN SYSTEM,2.0,Julius Maximilian University Of Wurzburg Biocentre,1.0,ECOLOGICAL RESEARCH,1.0,,,,,Revista Biota Neotropica,1.0,,,,,INICIATIVA CIENTIFICA MILENIO,1.0,,
2000.0,3.0,,,"Lira, Paula",2,,,,,,,,,,,AIX MARSEILLE UNIVERSITE,1.0,Museu Nacional Ufrj,1.0,GENETICA,1.0,,,,,Soc Brasil Genetica,1.0,,,,,INSTITUT PASTEUR DE CAYENNE,1.0,,
1999.0,2.0,,,"Leiner, Natalia",2,,,,,,,,,,,AUTONOMOUS UNIVERSITY OF BARCELONA,1.0,Southern Illinois University Carbondale College Of Science,1.0,GENETICS AND MOLECULAR BIOLOGY,1.0,,,,,,,,,,,INSTITUTO BIOATLANTICA,1.0,,
1998.0,1.0,,,"Camargo, Nícholas F",2,,,,,,,,,,,CARLETON UNIVERSITY,1.0,Southern Illinois University Department Of Zoology,1.0,JOURNAL OF BIOGEOGRAPHY,1.0,,,,,,,,,,,LABORATOIRE POPULATION ENVIRONMENT DEVELOPMENT,1.0,,
1996.0,1.0,,,"Graipel, Maurício",2,,,,,,,,,,,CIDEIM,1.0,The University Of British Columbia Department Of Forest Conservation Sciences,1.0,JOURNAL OF HEREDITY,1.0,,,,,,,,,,,NATIONAL SCIENCE FOUNDATION NSF,1.0,,
,,,,"Dias-Freedman, Isabela",2,,,,,,,,,,,CNRS INSTITUTE OF ECOLOGY ENVIRONMENT INEE,1.0,The University Of British Columbia Faculty Of Forestry,1.0,JOURNAL OF MORPHOLOGY,1.0,,,,,,,,,,,NEW SOUTH WALES DECC,1.0,,
,,,,"Carvalho, Bianca",2,,,,,,,,,,,FDN SENDA DARWIN,1.0,The University Of Sydney Faculty Of Science,1.0,JOURNAL OF ZOO AND WILDLIFE MEDICINE,1.0,,,,,,,,,,,PADCT CIAMB,1.0,,
,,,,"Fernandes, Marcus",2,,,,,,,,,,,FED UNIV BAHIA UFBA,1.0,The University Of Sydney School Of Life And Environmental Sciences,1.0,LANDSCAPE ECOLOGY,1.0,,,,,,,,,,,PORTUGUESE SCIENCE FOUNDATION FCT PROGRAM POPH QREN,1.0,,
,,,,"Amato, George",2,,,,,,,,,,,FED UNIV RIO DE JANEIRO,1.0,Universidade De Sao Paulo Departamento De Ecologia,1.0,MITOCHONDRIAL DNA,1.0,,,,,,,,,,,PRO REITORIA DE POS GRADUACAO E PESQUISA UCG,1.0,,
,,,,"Leite, Yuri L. R.",2,,,,,,,,,,,FUNDACAO OSWALDO CRUZ,1.0,Universidade De Sao Paulo Departamento De Medicina Veterinaria Preventiva E Saude Animal,1.0,MOLECULAR ECOLOGY RESOURCES,1.0,,,,,,,,,,,PROJETO DE CONSERVACAO E UTILIZACAO SUSTENTAVEL DA DIVERSIDADE BIOLOGICA BRASILEIRA PROBIO I MMA GEF,1.0,,
,,,,"ANDRADE, FAC",2,,,,,,,,,,,GRANOLLERS MUSEUM NAT SCI,1.0,Universidade De Sao Paulo Faculdade De Medicina Veterinaria E Zootecnia,1.0,PLANT ECOLOGY,1.0,,,,,,,,,,,PROJETO DE CONSERVACAO E UTILIZACAO SUSTENTAVEL DA DIVERSIDADE BIOLOGICA BRASILEIRA PROBIO II MCT MMA GEF,1.0,,
,,,,"Cáceres, Nilton",2,,,,,,,,,,,INST BRASILEIRO MED CONSERVACAO TRIADE,1.0,Universidade De Sao Paulo Instituto De Biociencias,1.0,PLOS ONE,1.0,,,,,,,,,,,PROJETOS DEMONSTRATIVOS MINISTERIO DO MEIO AMBIENTE PDA MMA,1.0,,
