Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
,,,,"Venturini, L",4,,,3.32 Entomology,1.0,1.161.1662 Poxvirus Immunology,1.0,,,,,COMPLUTENSE UNIVERSITY OF MADRID,3,University Of Bari Department Of Veterinary Medicine,2,ZOOLOGIA,3,,,,,ASSN ADVAN ZOOLOGY,1.0,,,,,AYES ARGENTINAS,1,,,,,,
,,,,"Chiarini-Garcia, Helio",4,,,"3.60 Herbicides, Pesticides & Ground Poisoning",1.0,1.163.1106 Echinococcosis,1.0,,,,,CONICET UBA,3,University Of Brasilia Department Of Zoology,2,ANATOMY AND EMBRYOLOGY,2,,,,,ASSOC TROPICAL BIOLOGY INC,1.0,,,,,BAE PET BOLSA,1,,,,,,
,,,,"Canfield, P.",4,,,3.83 Bioengineering,1.0,1.163.446 Schistosomiasis,1.0,,,,,CORNELL UNIVERSITY,3,University Of Brasilia Faculty Of Medicine,2,ANNALS OF ANATOMY ANATOMISCHER ANZEIGER,2,,,,,Allen Press Inc,1.0,,,,,BIC UFRGS,1,,,,,,
,,,,"Chemisquy, María",4,,,,,1.194.2768 Leprosy Epidemiology,1.0,,,,,EMBRAPA GADO CORTE,3,University Of Costa Rica Faculty Of Microbiology,2,ANNALS OF CARNEGIE MUSEUM,2,,,,,Amer Entomol Soc,1.0,,,,,BRAZILIAN NATIONAL COUNSEL OF SCIENTIFIC AND TECHNOLOGICAL DEPEVOPMENT CNPQ BRAZIL,1,,,,,,
,,,,"FALTAY, P",4,,,,,1.195.1341 Enteric Nervous System,1.0,,,,,IMPERIAL COLLEGE LONDON,3,University Of Nebraska State Museum,2,ARCHIVES OF ORAL BIOLOGY,2,,,,,Amer Soc Mammalogists,1.0,,,,,BRAZILIAN RESEARCH FUNDING AGENCY CAPES FEDERAL AGENCY FOR THE SUPPORT AND IMPROVEMENT OF HIGHER EDUCATION,1,,,,,,
,,,,"Kwok, Oliver",4,,,,,1.195.578 Neuropeptide Roles,1.0,,,,,INST BRASILEIRO MED CONSERVACAO TRIADE,3,Autonomous University Of Madrid Faculty Of Medicine,1,AVIAN DISEASES,2,,,,,Asociacion Argentina Microbiologia,1.0,,,,,BRAZILIAN RESEARCH FUNDING AGENCY FAPESP SAO PAULO RESEARCH FOUNDATION,1,,,,,,
,,,,"Machado, Claudia Ribeiro",4,,,,,1.23.1397 Urinary Tract Infection,1.0,,,,,INSTITUTE NACIONAL DE PESQUISAS DA AMAZONIA,3,Bangor University College Of Environmental Sciences And Engineering,1,BRAZILIAN JOURNAL OF INFECTIOUS DISEASES,2,,,,,Asociacion Espanola Ecologia Terrestre,1.0,,,,,BRITISH ORNITHOLOGISTS UNION,1,,,,,,
,,,,"Ladosky, Waldemar",4,,,,,1.235.1185 Voice Disorders,1.0,,,,,LONDON SCHOOL OF HYGIENE TROPICAL MEDICINE,3,Bangor University School Of Natural Sciences,1,BRAZILIAN JOURNAL OF MICROBIOLOGY,2,,,,,Assoc Avian Veterinarians,1.0,,,,,BRITISH RESEARCH COUNCIL,1,,,,,,
,,,,"Marangoni, Sergio",4,,,,,1.246.710 Enteric Viruses,1.0,,,,,MACQUARIE UNIVERSITY,3,California Animal Health And Food Safety Laboratory System,1,ELECTRON MICROSCOPY 1998 VOL 4,2,,,,,Assoc Brasileira Ciencia Ecologica E Conservacao,1.0,,,,,BRITISH RESEARCH COUNCIL UNDER THE RESEARCH LINKS PROGRAM,1,,,,,,
,,,,"Redins, CA",4,,,,,1.248.2104 Trichomonas Vaginalis,1.0,,,,,MINIST SALUD NAC,3,Cayetano Heredia Pervuvian University Alexander Von Humboldt Institute Of Tropical Medicine,1,FRONTIERS IN ECOLOGY AND EVOLUTION,2,,,,,Bioscientifica Ltd,1.0,,,,,CANADIAN INTERNATIONAL DEVELOPMENT AGENCY,1,,,,,,
