Ordem,Família,Espécie,Ano,Visualizaç?es
,,Thrichomys apereoides,2023,2252
,,Thrichomys apereoides,2024,2189
,,Thrichomys apereoides,2025,1915
,,Thrichomys inermis,2015,48
,,Thrichomys inermis,2016,74
,,Thrichomys inermis,2017,68
,,Thrichomys inermis,2018,103
,,Thrichomys inermis,2019,126
,,Thrichomys inermis,2020,96
,,Thrichomys inermis,2021,87
,,Thrichomys inermis,2022,90
,,Thrichomys inermis,2023,110
,,Thrichomys inermis,2024,146
,,Thrichomys inermis,2025,121
,,Thrichomys laurentius,2015,N/A
,,Thrichomys laurentius,2016,N/A
,,Thrichomys laurentius,2017,N/A
,,Thrichomys laurentius,2018,N/A
,,Thrichomys laurentius,2019,N/A
,,Thrichomys laurentius,2020,N/A
,,Thrichomys laurentius,2021,N/A
,,Thrichomys laurentius,2022,170
,,Thrichomys laurentius,2023,217
,,Thrichomys laurentius,2024,200
,,Thrichomys laurentius,2025,236
,,Trinomys albispinus,2015,34
,,Trinomys albispinus,2016,70
,,Trinomys albispinus,2017,79
,,Trinomys albispinus,2018,65
,,Trinomys albispinus,2019,83
,,Trinomys albispinus,2020,77
,,Trinomys albispinus,2021,60
,,Trinomys albispinus,2022,83
,,Trinomys albispinus,2023,79
,,Trinomys albispinus,2024,97
,,Trinomys albispinus,2025,128
,,Trinomys yonenagae,2015,20
,,Trinomys yonenagae,2016,37
,,Trinomys yonenagae,2017,40
,,Trinomys yonenagae,2018,39
,,Trinomys yonenagae,2019,38
,,Trinomys yonenagae,2020,37
,,Trinomys yonenagae,2021,12
,,Trinomys yonenagae,2022,33
,,Trinomys yonenagae,2023,39
,,Trinomys yonenagae,2024,48
,,Trinomys yonenagae,2025,83
