species,year,views
Oxymycterus_dasytrichus,2025,269
Oxymycterus_dasytrichus,2026,26
Oxymycterus_delator,2015,120
Oxymycterus_delator,2016,207
Oxymycterus_delator,2017,119
Oxymycterus_delator,2018,148
Oxymycterus_delator,2019,255
Oxymycterus_delator,2020,267
Oxymycterus_delator,2021,286
Oxymycterus_delator,2022,281
Oxymycterus_delator,2023,212
Oxymycterus_delator,2024,238
Oxymycterus_delator,2025,218
Oxymycterus_delator,2026,20
Phyllomys_blainvilii,2015,N/A
Phyllomys_blainvilii,2016,N/A
Phyllomys_blainvilii,2017,N/A
Phyllomys_blainvilii,2018,N/A
Phyllomys_blainvilii,2019,N/A
Phyllomys_blainvilii,2020,N/A
Phyllomys_blainvilii,2021,N/A
Phyllomys_blainvilii,2022,N/A
Phyllomys_blainvilii,2023,N/A
Phyllomys_blainvilii,2024,N/A
Phyllomys_blainvilii,2025,N/A
Phyllomys_blainvilii,2026,N/A
Phyllomys_lamarum,2015,84
Phyllomys_lamarum,2016,173
Phyllomys_lamarum,2017,106
Phyllomys_lamarum,2018,117
Phyllomys_lamarum,2019,179
Phyllomys_lamarum,2020,159
Phyllomys_lamarum,2021,200
Phyllomys_lamarum,2022,196
Phyllomys_lamarum,2023,179
Phyllomys_lamarum,2024,205
Phyllomys_lamarum,2025,213
Phyllomys_lamarum,2026,14
Pseudoryzomys_simplex,2015,95
Pseudoryzomys_simplex,2016,249
Pseudoryzomys_simplex,2017,176
Pseudoryzomys_simplex,2018,174
Pseudoryzomys_simplex,2019,315
Pseudoryzomys_simplex,2020,217
Pseudoryzomys_simplex,2021,300
Pseudoryzomys_simplex,2022,330
Pseudoryzomys_simplex,2023,297
Pseudoryzomys_simplex,2024,327
Pseudoryzomys_simplex,2025,299
Pseudoryzomys_simplex,2026,31
Rhipidomys_cariri,2015,72
Rhipidomys_cariri,2016,226
Rhipidomys_cariri,2017,198
Rhipidomys_cariri,2018,176
Rhipidomys_cariri,2019,233
Rhipidomys_cariri,2020,209
Rhipidomys_cariri,2021,250
Rhipidomys_cariri,2022,379
Rhipidomys_cariri,2023,253
Rhipidomys_cariri,2024,312
Rhipidomys_cariri,2025,322
Rhipidomys_cariri,2026,35
Rhipidomys_macrurus,2015,104
Rhipidomys_macrurus,2016,271
Rhipidomys_macrurus,2017,165
Rhipidomys_macrurus,2018,187
Rhipidomys_macrurus,2019,253
Rhipidomys_macrurus,2020,217
Rhipidomys_macrurus,2021,306
Rhipidomys_macrurus,2022,437
Rhipidomys_macrurus,2023,397
Rhipidomys_macrurus,2024,420
Rhipidomys_macrurus,2025,413
Rhipidomys_macrurus,2026,34
Rhipidomys_mastacalis,2015,93
Rhipidomys_mastacalis,2016,307
Rhipidomys_mastacalis,2017,348
Rhipidomys_mastacalis,2018,428
Rhipidomys_mastacalis,2019,473
Rhipidomys_mastacalis,2020,539
Rhipidomys_mastacalis,2021,643
Rhipidomys_mastacalis,2022,652
Rhipidomys_mastacalis,2023,500
Rhipidomys_mastacalis,2024,549
Rhipidomys_mastacalis,2025,598
Rhipidomys_mastacalis,2026,48
Thrichomys_apereoides,2015,632
Thrichomys_apereoides,2016,1289
Thrichomys_apereoides,2017,1290
Thrichomys_apereoides,2018,1884
Thrichomys_apereoides,2019,2725
Thrichomys_apereoides,2020,3687
Thrichomys_apereoides,2021,3311
Thrichomys_apereoides,2022,3449
Thrichomys_apereoides,2023,6889
Thrichomys_apereoides,2024,3847
Thrichomys_apereoides,2025,3021
Thrichomys_apereoides,2026,255
Thrichomys_inermis,2015,109
Thrichomys_inermis,2016,243
Thrichomys_inermis,2017,178
Thrichomys_inermis,2018,189
Thrichomys_inermis,2019,290
Thrichomys_inermis,2020,242
Thrichomys_inermis,2021,342
Thrichomys_inermis,2022,315
Thrichomys_inermis,2023,259
Thrichomys_inermis,2024,362
Thrichomys_inermis,2025,346
Thrichomys_inermis,2026,36
Thrichomys_laurentius,2015,--
Thrichomys_laurentius,2016,--
Thrichomys_laurentius,2017,--
Thrichomys_laurentius,2018,--
Thrichomys_laurentius,2019,--
Thrichomys_laurentius,2020,--
Thrichomys_laurentius,2021,--
Thrichomys_laurentius,2022,320
Thrichomys_laurentius,2023,395
Thrichomys_laurentius,2024,424
Thrichomys_laurentius,2025,470
Thrichomys_laurentius,2026,34
Trinomys_albispinus,2015,99
Trinomys_albispinus,2016,249
Trinomys_albispinus,2017,158
Trinomys_albispinus,2018,138
Trinomys_albispinus,2019,199
Trinomys_albispinus,2020,185
Trinomys_albispinus,2021,233
Trinomys_albispinus,2022,296
Trinomys_albispinus,2023,268
Trinomys_albispinus,2024,278
Trinomys_albispinus,2025,312
Trinomys_albispinus,2026,27
Trinomys_yonenagae,2015,62
Trinomys_yonenagae,2016,174
Trinomys_yonenagae,2017,112
Trinomys_yonenagae,2018,102
Trinomys_yonenagae,2019,101
Trinomys_yonenagae,2020,88
Trinomys_yonenagae,2021,99
Trinomys_yonenagae,2022,107
Trinomys_yonenagae,2023,99
Trinomys_yonenagae,2024,121
Trinomys_yonenagae,2025,149
Trinomys_yonenagae,2026,11
Wiedomys_cerradensis,2015,74
Wiedomys_cerradensis,2016,203
Wiedomys_cerradensis,2017,216
Wiedomys_cerradensis,2018,172
Wiedomys_cerradensis,2019,262
Wiedomys_cerradensis,2020,212
Wiedomys_cerradensis,2021,310
Wiedomys_cerradensis,2022,303
Wiedomys_cerradensis,2023,262
Wiedomys_cerradensis,2024,381
Wiedomys_cerradensis,2025,371
Wiedomys_cerradensis,2026,23
Wiedomys_pyrrhorhinos,2015,125
Wiedomys_pyrrhorhinos,2016,282
Wiedomys_pyrrhorhinos,2017,340
Wiedomys_pyrrhorhinos,2018,389
Wiedomys_pyrrhorhinos,2019,393
Wiedomys_pyrrhorhinos,2020,486
Wiedomys_pyrrhorhinos,2021,533
Wiedomys_pyrrhorhinos,2022,601
Wiedomys_pyrrhorhinos,2023,712
Wiedomys_pyrrhorhinos,2024,667
Wiedomys_pyrrhorhinos,2025,493
Wiedomys_pyrrhorhinos,2026,39
