Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
,,,,"Bragagnolo, Camila de Marco",2,,,,,,,,,,,CTR INVEST TRANSFERENCIA NOROESTE PROV BUENOS A,1,,,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,1.0,,,,,,,,,,,KNOX JONES AWARD TTU,1,,,,
,,,,"Fernandes, Fernanda Rodrigues",2,,,,,,,,,,,CTR TECNOL ENGN LTDA,1,,,ZOOLOGICAL SCIENCE,1.0,,,,,,,,,,,KOLN FMER,1,,,,
,,,,"Fantozzi, María Cecilia",2,,,,,,,,,,,CTR UNIV SUDOESTE PAULISTA,1,,,ZOOSYSTEMATICS AND EVOLUTION,1.0,,,,,,,,,,,LABORATORIO DE VERTEBRADOS UFRJ,1,,,,
,,,,"Christoff, Alexandre Uarth",2,,,,,,,,,,,ECOHEALTH ALLIANCE,1,,,,,,,,,,,,,,,MARSHALL FIELD COLLECTION FUND OF THE FIELD MUSEUM OF NATURAL HISTORY IN CHICAGO,1,,,,
,,,,"MCALLISTER, RC",2,,,,,,,,,,,ECOL APLICADA PESQUISA ENSINO SERV AMBIENTAIS,1,,,,,,,,,,,,,,,MARY RICE FOUNDATION,1,,,,
,,,,"Meyer-Lucht, Yvonne",2,,,,,,,,,,,ESBAM,1,,,,,,,,,,,,,,,MASSEY UNIVERSITY FOUNDATION,1,,,,
,,,,"Sage, Richard D.",2,,,,,,,,,,,FAC CIENCIAS EXACTAS FIS NAT,1,,,,,,,,,,,,,,,MCTIC CNPQ BRAZIL,1,,,,
,,,,"Rodrigues, Daniele Pereira",2,,,,,,,,,,,FED UNIV MARANHAO CCAA UFMA,1,,,,,,,,,,,,,,,MEDICAL RESEARCH COUNCIL UK MRC,1,,,,
,,,,"Monje, Lucas Daniel",2,,,,,,,,,,,FIELD MUSEUM OF NATURAL HISTORY CHICAGO,1,,,,,,,,,,,,,,,MICHELLE KNAPP MEMORIAL SCHOLARSHIP TTU,1,,,,
,,,,"Salomon, Oscar",2,,,,,,,,,,,FUNASA,1,,,,,,,,,,,,,,,MINISTERIO DE EDUCACION Y CULTURA PROGRAMA DE DESARROLLO TECNOLOGICO,1,,,,
,,,,"Galiano, Daniel",2,,,,,,,,,,,FUNDACAO PARQUE ZOOL SAO PAULO,1,,,,,,,,,,,,,,,MINISTRY OF SCIENCE TECHNOLOGY AND INNOVATION MCTI CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO,1,,,,
,,,,"Strecht, Liana",2,,,,,,,,,,,FUNDACAO ZOOBOT RIO GRANDE SUL FZB RS,1,,,,,,,,,,,,,,,MOCONA,1,,,,
,,,,"Colombo, Valeria Carolina",2,,,,,,,,,,,HARVARD MEDICAL SCHOOL,1,,,,,,,,,,,,,,,NATIONAL INSTITUTE FOR SPACE RESEARCH INPE,1,,,,
,,,,"Souza, Joyce",2,,,,,,,,,,,HARVARD UNIVERSITY,1,,,,,,,,,,,,,,,NATIONAL SCIENCE FOUNDATION NSF,1,,,,
,,,,"Piña, Carlos",2,,,,,,,,,,,HARVARD UNIVERSITY MEDICAL AFFILIATES,1,,,,,,,,,,,,,,,NIH NATIONAL INSTITUTE OF ALLERGY INFECTIOUS DISEASES NIAID,1,,,,
,,,,"Appolinario, Camila M.",2,,,,,,,,,,,HOSP PEDIAT POSADAS,1,,,,,,,,,,,,,,,OSWALDO CRUZ INSTITUTE IOC FIOCRUZ,1,,,,
,,,,"Bacchiega, Thais S.",2,,,,,,,,,,,IBMP,1,,,,,,,,,,,,,,,PAN AMERICAN HEALTH ORGANIZATION,1,,,,
,,,,"Lopes, Paula",2,,,,,,,,,,,INEI ANLIS DR CARLOS G MALBRAN,1,,,,,,,,,,,,,,,PET SESU MEC,1,,,,
,,,,"Venzal, Jose",2,,,,,,,,,,,INEI ANLIS DR CG MALBRAN,1,,,,,,,,,,,,,,,PIBIC,1,,,,
,,,,"Delfraro, Adriana",2,,,,,,,,,,,INEVH,1,,,,,,,,,,,,,,,PIERRE KAUFMANN OBSERVATORY RADIO,1,,,,
,,,,Jonatas Santos Abrahao,2,,,,,,,,,,,INST BIOFIS CARLOS CHAGAS FILHO,1,,,,,,,,,,,,,,,PLAZA CALDAS DA IMPERATRIZ RESORT,1,,,,
,,,,"Cao, Xueyuan",2,,,,,,,,,,,INST NACL ENFERMEDADES INFECCIOSAS ADM NACL LABS,1,,,,,,,,,,,,,,,POSTGRADUATE PROGRAM IN ZOOLOGY AT THE UNIVERSIDADE FEDERAL DO PARANA UFPR,1,,,,
,,,,"Williams, Evan J.",2,,,,,,,,,,,INST NACL ENFERMEDADES INFECCIOSAS ANLIS DR CARLO,1,,,,,,,,,,,,,,,POSTGRADUATE PROGRAMMME IN CIENCIAS DA SALIDE IRR,1,,,,
,,,,"Martinez Bruyn, Vicente J.",2,,,,,,,,,,,INST NACL ENFERMEDADES VIRALES HUMANAS DR JULIO I,1,,,,,,,,,,,,,,,PP BIO CNPQ,1,,,,
,,,,"Burgos, Eliana F.",2,,,,,,,,,,,INST NACL LABS,1,,,,,,,,,,,,,,,PRO REITORIA DE PESQUISA UFMG PRPQ,1,,,,
,,,,"Figueiredo, Luiz T",2,,,,,,,,,,,INST PROCARNIVOROS,1,,,,,,,,,,,,,,,PROGRAMA DE FORMACION DE POSGRADO DE INTA,1,,,,
,,,,"Maroja, Luana",2,,,,,,,,,,,INST SALUD DR CARLOS G MALBRAN,1,,,,,,,,,,,,,,,PROGRAMA DE INCENTIVOS,1,,,,
,,,,"Rodriguez, Laura",2,,,,,,,,,,,INST SAUDE DR CARLOS MALBRAN,1,,,,,,,,,,,,,,,PROGRAMA DE POS GRADUACAO EM BIODIVERSIDADE E SAUDE IOC FIOCRUZ,1,,,,
,,,,"Neves, Carolina L.",2,,,,,,,,,,,INSTITUTE BIOMED SCIENCE UNIVERSITY SAO PAULO,1,,,,,,,,,,,,,,,PROGRAMA DE POS GRADUACAO EM CIENCIAS VETERINARIAS UFRRJ,1,,,,
,,,,"Sommer, Simone",2,,,,,,,,,,,INSTITUTE OF CYTOLOGY GENETICS ICG SB RAS,1,,,,,,,,,,,,,,,PROGRAMA NACIONAL DE INCENTIVO A LOS INVESTIGADORES PARAGUAY,1,,,,
,,,,"de Souza, William Marciel",2,,,,,,,,,,,INSTITUTO ADOLFO LUTZ,1,,,,,,,,,,,,,,,PROGRAMA NACIONAL DE INCENTIVO A LOSINVESTIGADORES CONACYT PARAGUAY,1,,,,
,,,,"Pardini, Renata",2,,,,,,,,,,,INSTITUTO BUTANTAN,1,,,,,,,,,,,,,,,PROJETO RS BIODIVERSIDADE,1,,,,
,,,,"Galliari, Carlos A.",2,,,,,,,,,,,INSTITUTO DE ECOLOGIA MEXICO,1,,,,,,,,,,,,,,,PROYECTO NACIONAL DE SANIDAD ANIMAL INTA,1,,,,
,,,,"Melo, Geruza Leal",2,,,,,,,,,,,INSTITUTO EVANDRO CHAGAS,1,,,,,,,,,,,,,,,SECRETARIA DE CIENCIA E TECNOLOGIA RS,1,,,,
