Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Editors,Editors_Count
1993.0,1.0,,,"Ferreira, L. F.",3,Multidisciplinary Sciences,2.0,,,1.37.467 Echocardiography,1.0,,,,,UNIVERSIDADE DE BRASILIA,2,University Of Verona Department Of Neuroscience Biomedicine And Movement,1.0,EXPERIMENTAL AND APPLIED ACAROLOGY,1.0,,,,,Pagepress Publ,1.0,Psychology,2.0,,,DECANATO DE PESQUISA E POS GRADUACAO DPP UNIVERSIDADE DE BRASILIA UNB,1.0,,,,
1991.0,2.0,,,Morgane Lavina,2,Physiology,2.0,,,3.16.1496 Ethnobotany,1.0,,,,,UNIVERSIDADE DE SANTO AMARO UNISA,2,University Of Verona School Of Medicine And Surgery,1.0,FRONTIERS IN NEUROANATOMY,1.0,,,,,Soc Brasileira Paleontologia,1.0,Biodiversity Conservation,1.0,,,EDITAL DE MISSOES CURTAS UFRGS,1.0,,,,
1989.0,1.0,,,"Resende, Nayra da Silva",2,Psychology Biological,2.0,,,3.35.1285 Bird Vocalization,1.0,,,,,UNIVERSIDADE DO ESTADO BAHIA,2,Western Washington University College Of Science And Engineering,1.0,HISTORICAL BIOLOGY,1.0,,,,,Univ Fed Rural Semi-Arido-Ufersa,1.0,Developmental Biology,1.0,,,FACEPE PERNAMBUCO FOUNDATION TO SUPPORT SCIENCE AND TECHNOLOGY,1.0,,,,
1986.0,1.0,,,"Andrade, Müller Ribeiro",2,Biodiversity Conservation,1.0,,,3.35.33 Avian Ecology,1.0,,,,,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,2,Western Washington University Department Of Biology,1.0,ICHNOS AN INTERNATIONAL JOURNAL FOR PLANT AND ANIMAL TRACES,1.0,,,,,Wilson Ornithological Soc,1.0,Immunology,1.0,,,FOUNDATION FOR RESEARCH AND EXTENSION SUPPORT OF SERGIPE FAPESE,1.0,,,,
1984.0,1.0,,,"Mota, Rinaldo Aparecido",2,Developmental Biology,1.0,,,3.40.195 Biodiversity Conservation,1.0,,,,,UNIVERSIDADE FEDERAL DA BAHIA,2,,,INTERNATIONAL JOURNAL OF PRIMATOLOGY,1.0,,,,,,,Obstetrics Gynecology,1.0,,,FUNDACAO CEARENSE DE APOIO A PESQUISA E AO DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO,1.0,,,,
1982.0,1.0,,,"Sousa, Twyla B.",2,Geography Physical,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,2,,,JOURNAL OF ARID ENVIRONMENTS,1.0,,,,,,,Physical Geography,1.0,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DE PERNAMBUCO FACEPE FACEPE BRAZIL,1.0,,,,
,,,,"Santos, Amilton C",2,Green Sustainable Science Technology,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DE VICOSA,2,,,JOURNAL OF CAVE AND KARST STUDIES,1.0,,,,,,,Public Environmental Occupational Health,1.0,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DO PIAUI FAPEPI,1.0,,,,
,,,,"Marcili, Arlei",2,Immunology,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,2,,,JOURNAL OF MAMMALIAN EVOLUTION,1.0,,,,,,,Reproductive Biology,1.0,,,FUNDACAO MUSEU DO HOMEM AMERICANO FUMDHAM,1.0,,,,
,,,,"SIANTO, LUCIANA",2,Obstetrics Gynecology,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,2,,,JOURNAL OF MAMMALOGY,1.0,,,,,,,,,,,FUNDAGAO DE AMPARO A PESQUISA DO ESTADO DA PARAIBA,1.0,,,,
,,,,"Ferrari, Stephen Francis",2,Ornithology,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2,,,JOURNAL OF ZOO AND WILDLIFE MEDICINE,1.0,,,,,,,,,,,GLOBAL ENVIRONMENT FUND GEF,1.0,,,,
,,,,"Lacher, TE",2,Public Environmental Occupational Health,1.0,,,,,,,,,UNIVERSIDADE REGIONAL DO CARIRI,2,,,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,1.0,,,,,,,,,,,INSTITUTO DE APOIO IT PESQUISA E AO DESENVOLVIMENTO DA UNIVERSIDADE ESTACLUAL VALE DO ACARAU,1.0,,,,
,,,,"Nogueira-Filho, Sérgio L.G.",2,Reproductive Biology,1.0,,,,,,,,,72 BIMTZ,1,,,JOURNAL OF ZOOLOGY,1.0,,,,,,,,,,,INSTITUTO NACIONAL DE CIENCIA E TECNOLOGIA DE ARQUEOLOGIA PALEONTOLOGIA E AMBIENTE DO SEMIARIDO DO NORDESTE DO BRASIL INCT INAPAS,1.0,,,,
,,,,"Labruna, Marcelo B",2,,,,,,,,,,,BETHUNE COOKMAN UNIVERSITY,1,,,MAMMALIAN BIOLOGY,1.0,,,,,,,,,,,INSTITUTO POLITECNICO NACIONAL MEXICO,1.0,,,,
,,,,"Rodrigues, Marcio Nogueira MNR",2,,,,,,,,,,,COMPLUTENSE UNIVERSITY OF MADRID,1,,,MEDICAL AND VETERINARY ENTOMOLOGY,1.0,,,,,,,,,,,LABORATORIO DE ECOLOGIA DE VERTEBRADOS,1.0,,,,
,,,,"Nogueira, Selene",2,,,,,,,,,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,1,,,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,1.0,,,,,,,,,,,LABORATORIO DE MAMIFEROS UNIVERSIDADE DE BRASOLIA,1.0,,,,
,,,,"Albuquerque, Jose F. G.",2,,,,,,,,,,,CTR UNIV CHRISTUS,1,,,NEUROSCIENCE LETTERS,1.0,,,,,,,,,,,NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY IN INTERDISCIPLINARY AND TRANSDISCIPLINARY STUDIES IN ECOLOGY AND EVOLUTION,1.0,,,,
,,,,"HARRY, Myriam",2,,,,,,,,,,,DIST ESTADUAL FERNANDO NORONHA,1,,,NEUROSCIENCE RESEARCH,1.0,,,,,,,,,,,NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY IN INTERDISCIPLINARY AND TRANSDISCIPLINARY STUDIES IN ECOLOGY AND EVOLUTION IN TREE PROCESS CAPES BAHIA BRAZIL,1.0,,,,
,,,,"Guzen, Fausto",2,,,,,,,,,,,FDN INST OSWALDO CRUZ,1,,,ORYX,1.0,,,,,,,,,,,NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY IN INTERDISCIPLINARY AND TRANSDISCIPLINARY STUDIES IN ECOLOGY AND EVOLUTION IN TREE PROCESS CNPQ BAHIA BRAZIL,1.0,,,,
,,,,"Martins dos Reis, Maria Emanuela",2,,,,,,,,,,,FED RURAL SEMI ARID UNIV,1,,,PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,1.0,,,,,,,,,,,NATURE CONSERVANCY OF BRAZIL,1.0,,,,
,,,,"Gomes de Andrade, Wylqui Mikael",2,,,,,,,,,,,FED UNIV VALE SAO FRANCISCO,1,,,PARASITES VECTORS,1.0,,,,,,,,,,,NEOTROPICAL GRASSLAND CONSERVANCY,1.0,,,,
,,,,Rita de Cassia Moreira de Souza,2,,,,,,,,,,,FIOCRUZ RESEARCH CENTER RENE RACHOU,1,,,PATHOGENS,1.0,,,,,,,,,,,PROEF CAPES FAPITEC PROC,1.0,,,,
,,,,"Confalonieri, Ulisses",2,,,,,,,,,,,HLTH MINIST,1,,,PHYSIOLOGICAL ZOOLOGY,1.0,,,,,,,,,,,RESEARCH AND PROJECTS FINANCING FINEP IN BRAZIL,1.0,,,,
,,,,"Felix de Araujo, Lucimario Thiago",2,,,,,,,,,,,HLTH SECRETARY CEARA STATE,1,,,PLACENTA,1.0,,,,,,,,,,,RIO GRANDE DO NORTE RESEARCH SUPPORT FOUNDATION FAPERN IN BRAZIL,1.0,,,,
,,,,"de Aro, Marian Mazeto",2,,,,,,,,,,,INST BIOTROP,1,,,PLOS ONE,1.0,,,,,,,,,,,RUFFORD FOUNDATION,1.0,,,,
,,,,Melquisedec Abiare Dantas de Santana,2,,,,,,,,,,,INST CARSTE,1,,,PRIMATES,1.0,,,,,,,,,,,SECRETARIA DE RECURSOS HIDRICOS E MEIO AMBIENTE SERHMA SE,1.0,,,,
,,,,"de Campos, Claudia B.",2,,,,,,,,,,,INST CONSERVACAO CARNIVOROS NEOTROP PROCARNIVOROS,1,,,REVISTA BRASILEIRA DE PALEONTOLOGIA,1.0,,,,,,,,,,,SERHMA SE,1.0,,,,
,,,,"Faucher, L.",2,,,,,,,,,,,INST CONSERVACAO CARNIVOROS NEOTROPICAIS,1,,,REVISTA CAATINGA,1.0,,,,,,,,,,,SES CE,1.0,,,,
,,,,"Lessa, Gisele",2,,,,,,,,,,,INST DESENVOLVIMENTO SUSTENTAVEL MAMIRAUA,1,,,SOCIOBIOLOGY OF CAVIOMORPH RODENTS AN INTEGRATIVE APPROACH,1.0,,,,,,,,,,,UNIVERSIDADE DE BRASILIA,1.0,,,,
,,,,Lileia Diotaiuti,2,,,,,,,,,,,INST RENE RACHOU FIOCRUZ MINAS GERAIS,1,,,TICKS AND TICK BORNE DISEASES,1.0,,,,,,,,,,,UNIVERSIDADE FEDERAL DE VICOSA,1.0,,,,
,,,,"Barbosa, Silvia Ermelinda",2,,,,,,,,,,,INST SERRADICAL PESQUISA CONSERVACAO,1,,,TROPICAL MEDICINE INTERNATIONAL HEALTH,1.0,,,,,,,,,,,WORLD HEALTH ORGANIZATION,1.0,,,,
,,,,"Horta, Mauricio Claudio",2,,,,,,,,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA INTA,1,,,TROPICAL ZOOLOGY,1.0,,,,,,,,,,,,,,,,
,,,,"Melo, Renata Pimentel Bandeira de",2,,,,,,,,,,,LAB PALEONTOL PALEOECOL SOC HIST NAT SHN,1,,,WILSON JOURNAL OF ORNITHOLOGY,1.0,,,,,,,,,,,,,,,,
,,,,"De Moura, Carlos Eduardo Bezerra",2,,,,,,,,,,,LOYOLA UNIVERSITY MARYLAND,1,,,ZOO BIOLOGY,1.0,,,,,,,,,,,,,,,,
,,,,"Oliveira, M. F.",2,,,,,,,,,,,MINIST AGR PECUARIA ABASTECIMENTO,1,,,,,,,,,,,,,,,,,,,,
,,,,"Silva, Alexandre Rodrigues",2,,,,,,,,,,,MOSSORO SUPER SCH AGR,1,,,,,,,,,,,,,,,,,,,,
,,,,"Mayer, Elver L.",2,,,,,,,,,,,MUSEO LA PLATA,1,,,,,,,,,,,,,,,,,,,,
,,,,"Magalhaes, F. J. R.",2,,,,,,,,,,,NATIONAL CANCER INSTITUTE INCA,1,,,,,,,,,,,,,,,,,,,,
,,,,"Bocchiglieri, Adriana",2,,,,,,,,,,,NATIONAL UNIVERSITY OF LA PLATA,1,,,,,,,,,,,,,,,,,,,,
,,,,"Barros, Kamila S.",2,,,,,,,,,,,NEOTROP PRIMATES RES GRP,1,,,,,,,,,,,,,,,,,,,,
,,,,"Willig, Michael R.",2,,,,,,,,,,,PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION PCSHE,1,,,,,,,,,,,,,,,,,,,,
,,,,"Costa, Miriam S. M. O.",2,,,,,,,,,,,PYMATUNING LAB ECOL,1,,,,,,,,,,,,,,,,,,,,
,,,,"de Lima, Ruthnaldo R. M.",2,,,,,,,,,,,SAO PAULO UNIV USP,1,,,,,,,,,,,,,,,,,,,,
,,,,"Conceicao, Anderson Mendonca",2,,,,,,,,,,,SCH MED,1,,,,,,,,,,,,,,,,,,,,
,,,,"Duarte, Renata",2,,,,,,,,,,,SECRET ESTADO SAUDE PUBL,1,,,,,,,,,,,,,,,,,,,,
,,,,"Dias, Douglas de Matos",2,,,,,,,,,,,SECRETARIA SAUDE ESTADO CEARA,1,,,,,,,,,,,,,,,,,,,,
,,,,"Almeida, Carlos Eduardo",2,,,,,,,,,,,SERV GEOL BRASIL SGB,1,,,,,,,,,,,,,,,,,,,,
,,,,Rovena Clara Galvao Januario Engelberth,2,,,,,,,,,,,STATE UNIVERSITY SYSTEM OF FLORIDA,1,,,,,,,,,,,,,,,,,,,,
,,,,"Lima, Ramon Hypolito",2,,,,,,,,,,,TEXAS TECH UNIVERSITY,1,,,,,,,,,,,,,,,,,,,,
,,,,"Almeida, Waldemar S",2,,,,,,,,,,,TEXAS TECH UNIVERSITY SYSTEM,1,,,,,,,,,,,,,,,,,,,,
,,,,"Rici, Rose Eli Grassi",1,,,,,,,,,,,UNIDADE VIGILANCIA SAUDE,1,,,,,,,,,,,,,,,,,,,,
,,,,"Hsiou, Annie Schmaltz",1,,,,,,,,,,,UNIV CALIF UC DAVIS,1,,,,,,,,,,,,,,,,,,,,
,,,,"Condino-Neto, Antonio",1,,,,,,,,,,,UNIV FED PARAIBA UFPB,1,,,,,,,,,,,,,,,,,,,,
,,,,"Takiya, Daniela Maeda",1,,,,,,,,,,,UNIV SAO PAULO SP,1,,,,,,,,,,,,,,,,,,,,
,,,,"Falótico, Tiago",1,,,,,,,,,,,UNIVERSIDAD DE EL SALVADOR,1,,,,,,,,,,,,,,,,,,,,
,,,,"INIGUEZ, ALENA M",1,,,,,,,,,,,UNIVERSIDAD DE LA REPUBLICA URUGUAY,1,,,,,,,,,,,,,,,,,,,,
,,,,"Massara, Rodrigo Lima",1,,,,,,,,,,,UNIVERSIDAD REY JUAN CARLOS,1,,,,,,,,,,,,,,,,,,,,
,,,,"Zurano, Juan Pablo Pablo",1,,,,,,,,,,,UNIVERSIDADE CIDADE DE SAO PAULO,1,,,,,,,,,,,,,,,,,,,,
,,,,"Rodrigues, Flávio",1,,,,,,,,,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,1,,,,,,,,,,,,,,,,,,,,
,,,,"Carter, Anthony Michael",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DA PARAIBA,1,,,,,,,,,,,,,,,,,,,,
,,,,"Valença-Barbosa, Carolina VB",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DE CAMPINAS,1,,,,,,,,,,,,,,,,,,,,
,,,,"Barbieri, Amalia R. M.",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DO CEARA,1,,,,,,,,,,,,,,,,,,,,
,,,,"Pessoa, Gerson T",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DO MARANHAO,1,,,,,,,,,,,,,,,,,,,,
,,,,"de Sá Schiavo Matias, Gustavo SS",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL VALE DO ACARAU,1,,,,,,,,,,,,,,,,,,,,
,,,,"De Paula, Valéria V",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO AMERICANA,1,,,,,,,,,,,,,,,,,,,,
,,,,"Almeida, Carlos Eduardo",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO,1,,,,,,,,,,,,,,,,,,,,
,,,,"Martinez, Pablo Ariel",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SANTA CATARINA UFSC,1,,,,,,,,,,,,,,,,,,,,
