Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Group Authors,Group Authors_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
,,,,"Costa, Leonora Pires",2,,,,,,,,,,,CARDIFF UNIVERSITY,1,Federal University Of Rio De Janeiro Department Of Genetics,1.0,JOURNAL OF HEREDITY,1.0,,,,,Soc Brasil Genetica,1.0,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DA BAHIA FAPESB,1.0,,,,,,
,,,,"Rocha, Rita Gomes",2,,,,,,,,,,,CARLETON UNIVERSITY,1,Ifgw,1.0,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,1.0,,,,,Soc Brasileira Entomologia,1.0,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE ESPIRITU SANTO FAPES,1.0,,,,,,
,,,,"Christoff, Alexandre Uarth",2,,,,,,,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,1,Iowa State University College Of Agriculture And Life Sciences,1.0,JOURNAL OF ZOOLOGY,1.0,,,,,Wiley-Hindawi,1.0,,,,,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,1.0,,,,,,
,,,,"Abreu, Maury S. L.",2,,,,,,,,,,,CHINESE ACADEMY OF SCIENCES,1,Iowa State University Department Of Ecology Evolution And Organismal Biology,1.0,MAMIFEROS DE RESTINGAS E MANGUEAIS DO BRASIL,1.0,,,,,,,,,,,FUNDACAO DE APOIO CIENCIA E TECNOLOGIA DO ESPIRITO SANTO FAPES,1.0,,,,,,
,,,,"Henning, Barbara",1,,,,,,,,,,,CHINESE UNIVERSITY OF HONG KONG,1,Iowa State University Department Of Natural Resource Ecology And Management,1.0,MAMMALS OF THE SALT MARSHES AND MANGROVES OF BRAZIL,1.0,,,,,,,,,,,FUNDACAO ESTADUAL DE AMPARO A PESQUISA DO ESTADO DO ESPIRITO SANTO,1.0,,,,,,
,,,,"Murray, Tomás E",1,,,,,,,,,,,CICYITP CONICET PROV ER UADER,1,James Cook University College Of Science And Engineering,1.0,MOLECULAR ECOLOGY RESOURCES,1.0,,,,,,,,,,,FUNDACAO PARA A CIENCIA E A TECNOLOGIA FCT,1.0,,,,,,
,,,,"Fernandez, Fernando A. S.",1,,,,,,,,,,,CNRS INSTITUTE OF ECOLOGY ENVIRONMENT INEE,1,James Cook University Marine Biology And Aquaculture At Jcu,1.0,OIKOS,1.0,,,,,,,,,,,FUNDACAO UNIVERSITA JOSE BONIFACIO,1.0,,,,,,
,,,,"Hartmann, Marilia T",1,,,,,,,,,,,COLLEGE OF FISHERIES MANGALORE,1,Kansas State University College Of Arts And Sciences,1.0,OPOSSUMS,1.0,,,,,,,,,,,FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA,1.0,,,,,,
,,,,"Vergara, Pablo",1,,,,,,,,,,,COLUMBIA RIVER INTERTRIBAL FISH COMMISS,1,Kansas State University Division Of Biology,1.0,OXIDATIVE MEDICINE AND CELLULAR LONGEVITY,1.0,,,,,,,,,,,FUNDO DE AMPARO A PESQUISA DO RIO GRANDE DO SUL FAPERGS,1.0,,,,,,
,,,,"Pellegrino, Katia Cristina M",1,,,,,,,,,,,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC,1,Leopold Franzens University Innsbruck Institute Of Ecology,1.0,PLANT ECOLOGY,1.0,,,,,,,,,,,MUSEU DE BIOLOGIA PROF MELLO LEITAO MBML,1.0,,,,,,
,,,,"Magalhães, Arthur",1,,,,,,,,,,,CORNELL UNIVERSITY,1,Louisiana State University College Of Agriculture,1.0,PROCEEDINGS OF THE BIOLOGICAL SOCIETY OF WASHINGTON,1.0,,,,,,,,,,,NATIONAL SCIENCE FOUNDATION NSF,1.0,,,,,,
,,,,"SAKAMOTO, Takashi",1,,,,,,,,,,,CSIC INSTITUTO DE INVESTIGACION EN RECURSOS CINEGETICOS IREC,1,Louisiana State University College Of Science,1.0,REVISTA BRASILEIRA DE ENTOMOLOGIA,1.0,,,,,,,,,,,NATURAL ENVIRONMENT RESEARCH COUNCIL NERC,1.0,,,,,,
,,,,"Busch, Jeremiah W",1,,,,,,,,,,,CSIC MUSEO NACIONAL DE CIENCIAS NATURALES MNCN,1,Louisiana State University Department Of Biological Sciences,1.0,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,1.0,,,,,,,,,,,PRO REITORIA DE POS GRADUACAO E PESQUISA UCG,1.0,,,,,,
,,,,"Metzger, Jean Paul",1,,,,,,,,,,,CTR REG UNIV ESPIRITO SANTO DO PINHAL,1,Louisiana State University Department Of Plant Pathology And Crop Physiology,1.0,SERIE LIVROS DO MUSEU NACIONAL,1.0,,,,,,,,,,,PROBIO MMA GEF,1.0,,,,,,
,,,,"Huang, Cheng-Hua",1,,,,,,,,,,,CTR UNIV FUNDACAO ENSINO OCTAVIO BASTOS,1,Maynooth University Department Of Mathematics And Statistics,1.0,ZOOTAXA,1.0,,,,,,,,,,,PRONEX,1.0,,,,,,
,,,,"Eizirik, Eduardo",1,,,,,,,,,,,DALHOUSIE UNIVERSITY,1,Maynooth University Faculty Of Science And Engineering,1.0,,,,,,,,,,,,,SCIENCE WITHOUT BORDERS PROGRAM,1.0,,,,,,
,,,,"Oliveira, Joao A",1,,,,,,,,,,,EAST CHINA NORMAL UNIVERSITY,1,National Cheng Kung University College Of Bioscience And Biotechnology,1.0,,,,,,,,,,,,,SWEDISH RESEARCH COUNCIL,1.0,,,,,,
,,,,"Jones, Geoffrey P.",1,,,,,,,,,,,ECOL APLICADA PESQUISA ENSINO SERV AMBIENTAIS,1,National Cheng Kung University Department Of Life Science,1.0,,,,,,,,,,,,,UK RESEARCH INNOVATION UKRI,1.0,,,,,,
,,,,"Alvarez, Martín R",1,,,,,,,,,,,ECOLE PRATIQUE DES HAUTES ETUDES EPHE,1,National Taiwan Normal University College Of Science,1.0,,,,,,,,,,,,,,,,,,,,
,,,,Gordana Rašić,1,,,,,,,,,,,FINAL BAIRRO SANTA CRUZ,1,National Taiwan Normal University Department Of Life Science,1.0,,,,,,,,,,,,,,,,,,,,
,,,,"Rossi, Rogerio V",1,,,,,,,,,,,FMVZ UNESP,1,National Taiwan University College Of Life Science,1.0,,,,,,,,,,,,,,,,,,,,
,,,,Jacob Landis,1,,,,,,,,,,,FZBRS,1,National Taiwan University Institute Of Ecology And Evolutionary Biology,1.0,,,,,,,,,,,,,,,,,,,,
,,,,Robert John Paxton,1,,,,,,,,,,,GRP ESTUDOS MAMIFEROS AQUAT RIO GRANDE DO SUL GEM,1,Nc State University College Of Agriculture And Life Sciences,1.0,,,,,,,,,,,,,,,,,,,,
,,,,"Gouveia, Licínia",1,,,,,,,,,,,HAINAN UNIVERSITY,1,Nc State University Department Of Entomology And Plant Pathology,1.0,,,,,,,,,,,,,,,,,,,,
,,,,"Pinheiro, Aluisio",1,,,,,,,,,,,INRAE,1,Princeton University Department Of Ecology And Evolutionary Biology,1.0,,,,,,,,,,,,,,,,,,,,
,,,,"Chu, Ka Hou",1,,,,,,,,,,,INST HIST GEOG PARANA,1,Queen S University Belfast Faculty Of Medicine Health And Life Sciences,1.0,,,,,,,,,,,,,,,,,,,,
,,,,"Yassuda, Yatiyo Y",1,,,,,,,,,,,INST PROCARNIVOROS,1,Queen S University Belfast School Of Biological Sciences,1.0,,,,,,,,,,,,,,,,,,,,
,,,,"Gheler-Costa, Carla",1,,,,,,,,,,,INSTITUT AGRO,1,Research Institute Of Wildlife Resources,1.0,,,,,,,,,,,,,,,,,,,,
,,,,"Pinheiro, Hildete P",1,,,,,,,,,,,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD,1,Research Network On Biodiversity And Evolutionary Biology,1.0,,,,,,,,,,,,,,,,,,,,
,,,,"Strussmann, Carlos A",1,,,,,,,,,,,INSTITUTE OF OCEANOLOGY CAS,1,Science University Of Malaysia School Of Biological Sciences,1.0,,,,,,,,,,,,,,,,,,,,
,,,,"Santos, Amilton C",1,,,,,,,,,,,INSTITUTE OF ZOOLOGY CAS,1,State University Of Campinas Faculty Of Medical Sciences,1.0,,,,,,,,,,,,,,,,,,,,
,,,,"Kanetis, Loukas I",1,,,,,,,,,,,INSTITUTO BUTANTAN,1,Texas Christian University College Of Science Engineering,1.0,,,,,,,,,,,,,,,,,,,,
,,,,"Castilho, Roger F",1,,,,,,,,,,,IOC FUNDACAO OSWALDO CRUZ,1,Texas Christian University Department Of Biology,1.0,,,,,,,,,,,,,,,,,,,,
,,,,"Pessôa, Leila L M",1,,,,,,,,,,,IOWA STATE UNIVERSITY,1,The Chinese University Of Hong Kong Faculty Of Science,1.0,,,,,,,,,,,,,,,,,,,,
