Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
1977.0,1.0,,,"Feldberg, Eliana",2,,,,,,,,,,,CARNEGIE MUSEUM NAT HIST,1.0,University Of Berne Department Of Biology,1.0,JOURNAL OF HEREDITY,1.0,,,,,Pensoft Publishers,1.0,,,,,FOUNDATION FOR RESEARCH SUPPORT OF BAHIA FAPESB,1.0
1969.0,1.0,,,"Martinelli, Patricia M",1,,,,,,,,,,,CNRS NATIONAL INSTITUTE FOR BIOLOGY INSB,1.0,University Of Louisville Department Of Anatomical Sciences And Neurobiology,1.0,JOURNAL OF MORPHOLOGY,1.0,,,,,Public Library Science,1.0,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DO GOIAS FAPEG,1.0
,,,,"Famadas, Kátia Maria",1,,,,,,,,,,,CTR NACL PESQUISA CONSERVACAO PRIMATAS BRASILEI,1.0,University Of Louisville Health Sciences Center,1.0,JOURNAL OF PARASITOLOGY,1.0,,,,,ROYAL SOC TROPICAL MEDICINE,1.0,,,,,FUNDACAO DE AMPARO A PESQUISA E INOVACAO DO ESPIRITO SANTO FAPES BRAZIL,1.0
,,,,"Ferreira, Eduardo",1,,,,,,,,,,,FDN MUNDO SANO,1.0,University Of Louisville School Of Medicine,1.0,MAMMAL RESEARCH,1.0,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISAS DO ESTADO DO AMAZONAS FAPEAM,1.0
,,,,"Marvulo, Maria Fernanda Vianna",1,,,,,,,,,,,FUNDACAO OSWALDO CRUZ,1.0,University Of Michigan College Of Literature Science And The Arts,1.0,MICROORGANISMS,1.0,,,,,,,,,,,FUNDACION MUNDO SANO ARGENTINA,1.0
,,,,"Ludwig, Gabriela",1,,,,,,,,,,,FUNDACAO UNIVERSIDADE FEDERAL DO AMAPA,1.0,University Of Michigan Museum Of Zoology,1.0,PARASITES VECTORS,1.0,,,,,,,,,,,FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA,1.0
,,,,"Costa Maia, Vincius Fernandes",1,,,,,,,,,,,GHENT UNIVERSITY,1.0,,,PLOS ONE,1.0,,,,,,,,,,,LABORATOIRE POPULATION ENVIRONMENT DEVELOPMENT,1.0
,,,,"Mauffrey, J",1,,,,,,,,,,,INST BRASILEIRO MED CONSERVACAO TRIADE,1.0,,,REVISTA BRASILEIRA DE GENETICA,1.0,,,,,,,,,,,MNHN,1.0
,,,,"Pellegrino, Katia Cristina M",1,,,,,,,,,,,INST PESQUISAS CIENT TECNOL ESTADO AMAPA,1.0,,,TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE,1.0,,,,,,,,,,,NATIONAL CENTRE FOR RESEARCH AND CONSERVATION OF BRAZILIAN PRIMATES CENTRO NACIONAL DE PESQUISA E CONSERVACAO DE PRIMATAS BRASILEIROS ICMBIO CPB,1.0
,,,,"Mujica, Yoiber",1,,,,,,,,,,,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE INSERM,1.0,,,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,1.0,,,,,,,,,,,NATIONAL SCIENCE FOUNDATION NSF,1.0
,,,,"Nunes, Alessandro Pacheco",1,,,,,,,,,,,INSTITUTO BUTANTAN,1.0,,,ZOOTAXA,1.0,,,,,,,,,,,PARIS ILE DE FRANCE REGION DIM MATERIAUX ANCIENS ET PATRIMONIAUX,1.0
,,,,"da Costa Neto, Socrates Fraga",1,,,,,,,,,,,INSTITUTO FEDERAL GOIANO,1.0,,,,,,,,,,,,,,,PORTUGUESE SCIENCE FOUNDATION FCT PROGRAM POPH QREN,1.0
,,,,"Nova, Patricia Villa",1,,,,,,,,,,,INSTITUTO GULBENKIAN DE CIENCIA,1.0,,,,,,,,,,,,,,,PRO REITORIA DE PESQUISA E POS GRADUACAO PROPP OF UNIVERSIDADE ESTADUAL DE SANTA CRUZ,1.0
,,,,"Argot, Christine",1,,,,,,,,,,,INSTITUTO NACIONAL DE SALUD PUBLICA,1.0,,,,,,,,,,,,,,,PRO REITORIA DE POS GRADUACAO E PESQUISA UCG,1.0
,,,,"Oliveira, Luiz F. B.",1,,,,,,,,,,,MICHIGAN STATE UNIVERSITY,1.0,,,,,,,,,,,,,,,PROGRAMA DE DESENVOLVIMENTO DA POSGRADUACAO PDPG PARCERIAS ESTRATEGICAS NOS ESTADOS,1.0
,,,,"Pagnozzi, Juliana M.",1,,,,,,,,,,,MUSEU NACL EMILIO GOELDI,1.0,,,,,,,,,,,,,,,PROGRAMA DE INICIACAO CIENTIFICA E TECNOLOGICA,1.0
,,,,"Oliveira, R. L.",1,,,,,,,,,,,NAT HIST MUSEUM BERN,1.0,,,,,,,,,,,,,,,R K MELLON NORTH AMERICAN MAMMAL RESEARCH INSTITUTE,1.0
,,,,"Prates, Lucineia Z.",1,,,,,,,,,,,ROYAL BELGIAN INSTITUTE OF NATURAL SCIENCES,1.0,,,,,,,,,,,,,,,UNIVERSITE DE PROVENCE,1.0
,,,,"Sampaio, Janio dos Santos",1,,,,,,,,,,,RUSSIAN ACADEMY OF SCIENCES,1.0,,,,,,,,,,,,,,,VILLUM FONDEN,1.0
,,,,"Sales, Kamila Gaudencio da Silva",1,,,,,,,,,,,UNITED STATES DEPARTMENT OF AGRICULTURE USDA,1.0,,,,,,,,,,,,,,,,
,,,,"Cunha, Nicolay Leme da",1,,,,,,,,,,,UNIV CATOLICA GOIAS,1.0,,,,,,,,,,,,,,,,
,,,,"Costa, Leonora Pires",1,,,,,,,,,,,UNIV FED JATAI,1.0,,,,,,,,,,,,,,,,
,,,,"Ribeiro, Vanessa O.",1,,,,,,,,,,,UNIVERSIDAD DE LOS ANDES COLOMBIA,1.0,,,,,,,,,,,,,,,,
,,,,"Siqueira, Daniel B.",1,,,,,,,,,,,UNIVERSIDAD NACIONAL DEL COMAHUE,1.0,,,,,,,,,,,,,,,,
,,,,Eduardo Mariano-Neto,1,,,,,,,,,,,UNIVERSIDADE ANHEMBI MORUMBI,1.0,,,,,,,,,,,,,,,,
,,,,"Mota, Rinaldo Aparecido",1,,,,,,,,,,,UNIVERSIDADE DE AVEIRO,1.0,,,,,,,,,,,,,,,,
,,,,Quentin Grimal,1,,,,,,,,,,,UNIVERSIDADE ESTADUAL PAULISTA,1.0,,,,,,,,,,,,,,,,
,,,,"de Souza Silva, Adna Alves",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DA BAHIA,1.0,,,,,,,,,,,,,,,,
,,,,"Silva, Claudia Regina",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,1.0,,,,,,,,,,,,,,,,
,,,,"Faustino, M. Amparo F.",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SAO PAULO UNIFESP,1.0,,,,,,,,,,,,,,,,
,,,,Anthony Herrel,1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SERGIPE,1.0,,,,,,,,,,,,,,,,
,,,,"Oconnor, Barry",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,1.0,,,,,,,,,,,,,,,,
,,,,"Pech-May, Angelica",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI UFVJM,1.0,,,,,,,,,,,,,,,,
,,,,"Fonseca, Carlos MMS",1,,,,,,,,,,,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO UFRPE,1.0,,,,,,,,,,,,,,,,
,,,,"PESSOA, LM",1,,,,,,,,,,,UNIVERSITY OF ANTWERP,1.0,,,,,,,,,,,,,,,,
,,,,"Filho, Jose C.M. Nogueira",1,,,,,,,,,,,UNIVERSITY OF BERN,1.0,,,,,,,,,,,,,,,,
,,,,"Labdulfo, Gabriel Alves",1,,,,,,,,,,,UNIVERSITY OF CENTRAL VENEZUELA,1.0,,,,,,,,,,,,,,,,
,,,,Rasmus Heller,1,,,,,,,,,,,UNIVERSITY OF LOS ANDES VENEZUELA,1.0,,,,,,,,,,,,,,,,
,,,,"R. Watson, Casey",1,,,,,,,,,,,UNIVERSITY OF LOUISVILLE,1.0,,,,,,,,,,,,,,,,
,,,,"Vargas, Claudeir",1,,,,,,,,,,,UNIVERSITY OF MICHIGAN,1.0,,,,,,,,,,,,,,,,
,,,,"Fabre, Anne-Claire",1,,,,,,,,,,,UNIVERSITY OF MICHIGAN SYSTEM,1.0,,,,,,,,,,,,,,,,
,,,,"Rocha, Rita Gomes",1,,,,,,,,,,,UNIVERSITY OF VALENCIA,1.0,,,,,,,,,,,,,,,,
,,,,"Morais, Alessandro",1,,,,,,,,,,,ZOOLOGICAL INSTITUTE OF THE RUSSIAN ACADEMY OF SCIENCES,1.0,,,,,,,,,,,,,,,,
,,,,"Abril, Marcelo C.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ditchfield, Albert David",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"VIANA, LUCIO",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Atramentowicz, M",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dantas-Torres, Filipe",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Loss, Ana Carolina",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Cura, Carolina Ines",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Avilla, Leonardo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Beltrão-Mendes, Raone",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Pereira, Neila",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Onofrio, Valeria",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ramsey, Janine M",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Terribile, Levi Carina",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Faccini, João",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Gaiotto, Fernanda Amato",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Shaw, Jeffrey Jon",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Battesti, Darci Moraes Barros",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"PENA, HILDA F J",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Alonso, Andre Chein",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Alves, L.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ALESSIO, F",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"germain, damien",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Aular, Luis",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Berto, Bruno P",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Lessa, Leonardo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Buss, Gerson",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ventura, Karen",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Casella, Janaina",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Oliveira, Edison Vicente",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Decuypere, Vincent",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Isabel Delgado-Jaramillo, Mariana",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Figueiredo, Valquiria V.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Guhl, Felipe",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Gennari, Solange M",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Harvey, Tatiane Vitor",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ramirez, Juan Carlos",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Junior, MC",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
