Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
,,,,"André, Marcos Rogério",1,,,,,,,,,,,INSTITUTO POLITECNICO NACIONAL MEXICO,1,,,,,,,,,,,,,,,NEOTROPICAL GRASSLAND CONSERVANCY,1.0,,
,,,,"Oliveira, Joao A",1,,,,,,,,,,,MUSEU CIENCIAS NAT,1,,,,,,,,,,,,,,,PORTUGUESE SCIENCE FOUNDATION FCT PROGRAM POPH QREN,1.0,,
,,,,"Nakazato, Luciano",1,,,,,,,,,,,NANJING NORMAL UNIVERSITY,1,,,,,,,,,,,,,,,PPEC UFS,1.0,,
,,,,"Mineo, Jose Roberto",1,,,,,,,,,,,NATIONAL CANCER INSTITUTE INCA,1,,,,,,,,,,,,,,,PROGRAMA DE INICIACAO CIENTIFICA E TECNOLOGICA,1.0,,
,,,,"Rocha, Fabiana L",1,,,,,,,,,,,POSTGRAD PROGRAM APPL IMMUNOL PARASITOL,1,,,,,,,,,,,,,,,PRPQ UFMG,1.0,,
,,,,"Rossi, Rogerio V",1,,,,,,,,,,,POSTGRAD PROGRAM ECOL CONSERVAT NAT RESOURCES,1,,,,,,,,,,,,,,,SEMARH SE,1.0,,
,,,,"Fornazari, Felipe",1,,,,,,,,,,,QUEENSLAND MUSEUM,1,,,,,,,,,,,,,,,SEVERAL LEWIS AND CLARK EXPLORATION FUND GRANTS,1.0,,
,,,,"Teixeira, Camila P",1,,,,,,,,,,,QUEENSLAND UNIVERSITY OF TECHNOLOGY QUT,1,,,,,,,,,,,,,,,SIU CARBONDALE,1.0,,
,,,,"Fonseca, Carlos MMS",1,,,,,,,,,,,RUTGERS UNIVERSITY NEWARK,1,,,,,,,,,,,,,,,SOUTHERN ILLINOIS UNIVERSITY COLLEGE OF SCIENCES,1.0,,
,,,,"Azevedo, Cristiano S",1,,,,,,,,,,,RUTGERS UNIVERSITY SYSTEM,1,,,,,,,,,,,,,,,STATE FUNDING AGENCY OF SAO PAULO,1.0,,
,,,,"Sevá, Anaiá P",1,,,,,,,,,,,SMITHSONIAN INSTITUTION,1,,,,,,,,,,,,,,,SWEDISH RESEARCH COUNCIL,1.0,,
,,,,"Cruz-Neto, Ariovaldo P",1,,,,,,,,,,,SMITHSONIAN NATIONAL MUSEUM OF NATURAL HISTORY,1,,,,,,,,,,,,,,,TINKER FOUNDATION,1.0,,
,,,,"da Silva, Aristeu Vieira",1,,,,,,,,,,,UNITED STATES DEPARTMENT OF THE INTERIOR,1,,,,,,,,,,,,,,,TTU ASSOCIATION OF BIOLOGISTS MINI GRANT,1.0,,
,,,,"Pacheco, Richard Campos",1,,,,,,,,,,,UNITED STATES GEOLOGICAL SURVEY,1,,,,,,,,,,,,,,,UERJ PROAP,1.0,,
,,,,"Bonvicino, Cibele R.",1,,,,,,,,,,,UNIV ESTADO MATO GROSO UNEMAT,1,,,,,,,,,,,,,,,UFVJM,1.0,,
,,,,"Battesti, Darci Moraes Barros",1,,,,,,,,,,,UNIV ESTADO MATO GROSSO UNEMAT,1,,,,,,,,,,,,,,,UNITED STATES DEPARTMENT OF AGRICULTURE USDA,1.0,,
,,,,"Tavares, Luiz ER",1,,,,,,,,,,,UNIV ESTADUAL MARANHA,1,,,,,,,,,,,,,,,UNIVERSIDADE ESTADUAL DE GOIAS,1.0,,
,,,,"Roque, André Luiz Rodrigues",1,,,,,,,,,,,UNIV FED GOIAS REG CATALAO,1,,,,,,,,,,,,,,,URI,1.0,,
,,,,"Reis, Guilherme Gonçalves dos",1,,,,,,,,,,,UNIV FED JATAI,1,,,,,,,,,,,,,,,VALLOUREC FLORESTAL,1.0,,
,,,,"Berto, Bruno P",1,,,,,,,,,,,UNIV VALE RIO SINOS UNISINOS,1,,,,,,,,,,,,,,,VILLUM FONDEN,1.0,,
,,,,Marcus Vieira,1,,,,,,,,,,,UNIVERSIDAD AUSTRAL DE CHILE,1,,,,,,,,,,,,,,,,,,
,,,,"Leite, Yuri L. R.",1,,,,,,,,,,,UNIVERSIDAD DE CONCEPCION,1,,,,,,,,,,,,,,,,,,
,,,,"Palma, Eduardo",1,,,,,,,,,,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,1,,,,,,,,,,,,,,,,,,
,,,,"Laumann, Raul A.",1,,,,,,,,,,,UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO,1,,,,,,,,,,,,,,,,,,
,,,,"Marlene Tiduko Ueta Animal Biology, Unicamp",1,,,,,,,,,,,UNIVERSIDAD NACIONAL DEL COMAHUE,1,,,,,,,,,,,,,,,,,,
,,,,"Figueiredo, Luiz T",1,,,,,,,,,,,UNIVERSIDADE CATOLICA DOM BOSCO UCDB,1,,,,,,,,,,,,,,,,,,
,,,,"Cassano, Camila R",1,,,,,,,,,,,UNIVERSIDADE DE AVEIRO,1,,,,,,,,,,,,,,,,,,
,,,,"Oliveira, Edison Vicente",1,,,,,,,,,,,UNIVERSIDADE DE LISBOA,1,,,,,,,,,,,,,,,,,,
,,,,"Gentile, Rosana",1,,,,,,,,,,,UNIVERSIDADE DO SAGRADO CORACAO,1,,,,,,,,,,,,,,,,,,
,,,,"Szabó, Matias Pablo Juan PJ",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DE CAMPINAS,1,,,,,,,,,,,,,,,,,,
,,,,Bruce D Patterson,1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,1,,,,,,,,,,,,,,,,,,
,,,,Mathias Pires,1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DO OESTE DO PARANA,1,,,,,,,,,,,,,,,,,,
,,,,"dos Santos Santos, Marcos Antonio Pereira",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO AMERICANA,1,,,,,,,,,,,,,,,,,,
,,,,"Andreazzi, Cecilia",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DA PARAIBA,1,,,,,,,,,,,,,,,,,,
,,,,"Azevedo, Fernanda Cavalcanti",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE AMAZONAS,1,,,,,,,,,,,,,,,,,,
,,,,"Semedo, Thiago B.F",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE GOIAS,1,,,,,,,,,,,,,,,,,,
,,,,"de Araújo, Nadjar Nitz Silva Lociks",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE OURO PRETO,1,,,,,,,,,,,,,,,,,,
,,,,"de Andrade, Andrey J.",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE PERNAMBUCO,1,,,,,,,,,,,,,,,,,,
,,,,"Cancado, Paulo H D",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SANTA CATARINA UFSC,1,,,,,,,,,,,,,,,,,,
,,,,"dos Reis, Sergio",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,1,,,,,,,,,,,,,,,,,,
,,,,"Camargo, N. F.",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO MARANHAO,1,,,,,,,,,,,,,,,,,,
,,,,"Paglia, Adriano P",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,1,,,,,,,,,,,,,,,,,,
