Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count
,,,,"Francino, Dayana",1,,,,,,,,,,,UNIVERSITY OF MICHIGAN,1.0,,,,,,,,,,,,,,,,
,,,,"Moreira, Otacilio",1,,,,,,,,,,,UNIVERSITY OF MICHIGAN SYSTEM,1.0,,,,,,,,,,,,,,,,
,,,,"Chernova, Olga",1,,,,,,,,,,,UNIVERSITY OF PRETORIA,1.0,,,,,,,,,,,,,,,,
,,,,"Chimimba, Christian",1,,,,,,,,,,,UNIVERSITY OF SOUTH BOHEMIA CESKE BUDEJOVICE,1.0,,,,,,,,,,,,,,,,
,,,,"de Oliveira Correa, Margaret Maria",1,,,,,,,,,,,ZOOLOGICAL INSTITUTE OF THE RUSSIAN ACADEMY OF SCIENCES,1.0,,,,,,,,,,,,,,,,
,,,,"Fernandes, Tiago Vinicius",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Mendonça, André",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Torres, Eduardo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Pereira, Marcos Horácio",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Barbosa, Silvia Ermelinda",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Coutinho, Italo Cotta Coutinho",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Garcia, Juberlan",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"da Cunha Lima Acosta, Igor",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Cordeiro-Estrela, Pedro",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Di Creddo Alves, Anna Carolina",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Barciova, Lenka",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Vieira, Marcus",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Baylac, Michel",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Aguiar, Daniel Moura",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Pirmez, Claude",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Araujo, Ricardo N",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Cáceres, Nilton",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Bloomer, Paulette",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Verzi, Diego H.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"de Andrade, Gisela Braziliano",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Vilela, Roberto do Val",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Contrafatto, Giancarlo",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ribeiro de Lima, Julia Teresa",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Finamore-Araujo, Paula",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"dos Reis, Srgio Furtado",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"dos Santos Santos, Marcos Antonio Pereira",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Fontalvo, Mariana Campos",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Gennari, Solange M",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Bubadué, Jamile",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Yazdi, Fatemeh Tabatabaei",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Monteiro, Rafael V",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Makundi, Rhodes H.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Hingst-Zaher, Erika",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Klingenberg, Christian Peter",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
