Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Editors,Editors_Count
2002.0,3.0,,,"Curzio, P.",2,Tropical Medicine,1.0,,,,,,,,,BELL COLL,1.0,Louisiana State University Department Of Biological Sciences,1.0,BIOLOGY LETTERS,1.0,,,,,Helminthological Soc Washington,1.0,,,,,FUNDACAO DE AMPARO A PESQUISAS DO ESTADO DO AMAZONAS FAPEAM,1.0,,
2001.0,3.0,,,"de Souza, Erica",2,,,,,,,,,,,BENEDICTINE UNIV,1.0,Museu Nacional Ufrj,1.0,BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,1.0,,,,,Kluwer Academic/Plenum Publ,1.0,,,,,FUNDACAO GRUPO BOTICARIO DE PROTECAO A NATUREZA,1.0,,
2000.0,2.0,,,"Perret, M.",2,,,,,,,,,,,CITY UNIVERSITY OF NEW YORK CUNY SYSTEM,1.0,Northeast Ohio Medical University College Of Medicine,1.0,CHEMICAL SENSES,1.0,,,,,MUSEUM NAT HIST NATURELLE,1.0,,,,,FUNDACAO UNIVERSITA JOSE BONIFACIO,1.0,,
1999.0,4.0,,,"Eler, Eduardo",2,,,,,,,,,,,COLLEGIO PEDRO II,1.0,The University Of Queensland Faculty Of Science,1.0,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A MOLECULAR INTEGRATIVE PHYSIOLOGY,1.0,,,,,Oxford University Press,1.0,,,,,IDEA WILD,1.0,,
1997.0,1.0,,,"Macrini, Thomas E.",2,,,,,,,,,,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,1.0,The University Of Queensland Global Change Institute,1.0,COMPARATIVE CYTOGENETICS,1.0,,,,,Pensoft Publishers,1.0,,,,,INSTITUTO NACIONAL DE PESQUISAS DA AMAZONIA INPA,1.0,,
1996.0,1.0,,,"Herdeiro, Carlos",2,,,,,,,,,,,CONSERVAT INT BRAZIL,1.0,The University Of Queensland School Of Biological Sciences,1.0,COMPARATIVE PARASITOLOGY,1.0,,,,,Polish Acad Sciences,1.0,,,,,IOC FIOCRUZ IFAC INSTITUTIONAL AGREEMENT,1.0,,
1995.0,5.0,,,"Faresin, Carlos",2,,,,,,,,,,,CTR INVEST ESQUEL MONTANA ESTEPA PATAGON,1.0,The University Of Sydney Faculty Of Science,1.0,COMPTES RENDUS DE L ACADEMIE DES SCIENCES SERIE III SCIENCES DE LA VIE LIFE SCIENCES,1.0,,,,,Soc Brasil Genetica,1.0,,,,,KALBFLEISCH LINCOLN ELLSWORTH RESEARCH FELLOWSHIP AT THE AMERICAN MUSEUM OF NATURAL HISTORY NEW YORK,1.0,,
1993.0,1.0,,,"Casella, Janaina",2,,,,,,,,,,,ENEL DISTRIBUICAO SAO PAULO,1.0,The University Of Sydney School Of Life And Environmental Sciences,1.0,CONSERVATION GENETICS RESOURCES,1.0,,,,,"Soc Brasileira Zoologia, Univ Federal Parana",1.0,,,,,MACARTHUR FOUNDATION,1.0,,
1992.0,1.0,,,"Feldberg, Eliana",2,,,,,,,,,,,FDN UNIV POPAYAN,1.0,University College London Faculty Of Brain Sciences,1.0,DIVERSITY AND DISTRIBUTIONS,1.0,,,,,Soc Ed Scientifiques,1.0,,,,,MUSEU DE BIOLOGIA PROF MELLO LEITAO MBML,1.0,,
1991.0,1.0,,,"Kirsch, Janina",1,,,,,,,,,,,FED UNIV RIO DE JANEIRO,1.0,University College London Institute Of Ophthalmology,1.0,EVOLUTIONARY ECOLOGY,1.0,,,,,Univ Chicago Press,1.0,,,,,NATIONAL INSTITUTES OF HEALTH NIH USA,1.0,,
1990.0,3.0,,,"Luckett, W. Patrick",1,,,,,,,,,,,FLINDERS UNIVERSITY SOUTH AUSTRALIA,1.0,University College London School Of Life And Medical Sciences,1.0,FOLIA PRIMATOLOGICA,1.0,,,,,Urban & Fischer Verlag,1.0,,,,,NATURE CONSERVANCY,1.0,,
1989.0,1.0,,,"Martin, Gabriel M.",1,,,,,,,,,,,FUNDACAO PARQUE ZOOL SAO PAULO,1.0,University Of Brasilia Department Of Zoology,1.0,GENE,1.0,,,,,,,,,,,NIH EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH HUMAN DEVELOPMENT NICHD,1.0,,
1988.0,1.0,,,"de Mascena Diniz Maia, Paula Ferdinanda Conceicao",1,,,,,,,,,,,GLASGOW CALEDONIAN UNIVERSITY,1.0,University Of Brasilia Institute Of Biological Sciences,1.0,GENETICA,1.0,,,,,,,,,,,NSF DIRECTORATE FOR GEOSCIENCES GEO,1.0,,
1986.0,1.0,,,"Costa Maia, Vincius Fernandes",1,,,,,,,,,,,HARVARD MEDICAL SCHOOL,1.0,University Of Florida College Of Liberal Arts And Sciences,1.0,IHERINGIA SERIE ZOOLOGIA,1.0,,,,,,,,,,,PETROBRAS,1.0,,
1982.0,1.0,,,"Magalhães, Arthur",1,,,,,,,,,,,HARVARD UNIVERSITY,1.0,University Of Florida Department Of Anthropology,1.0,JOURNAL OF CHEMICAL ECOLOGY,1.0,,,,,,,,,,,PROBIO MMA GEF,1.0,,
1981.0,2.0,,,"MIRANDA, CL",1,,,,,,,,,,,IMPERIAL COLLEGE LONDON,1.0,University Of Michigan College Of Literature Science And The Arts,1.0,JOURNAL OF COMPARATIVE PHYSIOLOGY B BIOCHEMICAL SYSTEMS AND ENVIRONMENTAL PHYSIOLOGY,1.0,,,,,,,,,,,PROGRAMA DE INICIACAO CIENTIFICA E TECNOLOGICA,1.0,,
1976.0,1.0,,,"Valim, Michel P.",1,,,,,,,,,,,INST JURUA,1.0,University Of Michigan Museum Of Zoology,1.0,JOURNAL OF IMMUNOLOGY,1.0,,,,,,,,,,,PRONEX,1.0,,
1970.0,1.0,,,"Ochoa, Ronald",1,,,,,,,,,,,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD,1.0,University Of Minnesota Twin Cities College Of Biological Sciences,1.0,JOURNAL OF MAMMALIAN EVOLUTION,1.0,,,,,,,,,,,RUSSIAN FOUNDATION FOR BASIC RESEARCH RFBR,1.0,,
1946.0,2.0,,,"Papi, Bernardo",1,,,,,,,,,,,INSTITUTO FEDERAL DO ACRE IFAC,1.0,University Of Minnesota Twin Cities College Of Food Agricultural And Natural Resource Sciences,1.0,JOURNAL OF ULTRASTRUCTURE RESEARCH,1.0,,,,,,,,,,,SACKLER INSTITUTE FOR COMPARATIVE GENOMICS AMNH,1.0,,
1945.0,1.0,,,"Argot, Christine",1,,,,,,,,,,,INT INST SUSTAINABIL,1.0,University Of Minnesota Twin Cities Department Of Ecology Evolution And Behavior,1.0,PARASITOLOGY RESEARCH,1.0,,,,,,,,,,,SOCRATES ERASMUS,1.0,,
,,,,"Nummela, S.",1,,,,,,,,,,,IOC FUNDACAO OSWALDO CRUZ,1.0,University Of Nebraska State Museum,1.0,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES,1.0,,,,,,,,,,,UNITED STATES DEPARTMENT OF HEALTH HUMAN SERVICES,1.0,,
,,,,"Oddy, A.",1,,,,,,,,,,,IWOKRAMA INT CTR RAIN FOREST CONSERVAT DEV,1.0,University Of New South Wales School Of Biological Earth And Environmental Sciences,1.0,RECHERCHE,1.0,,,,,,,,,,,UNIVERSITY OF ZURICH,1.0,,
,,,,"Anciaes, Marina",1,,,,,,,,,,,JOSE GOMES DE ALENCAR NATL CANC INST,1.0,University Of New South Wales Science,1.0,REVISTA BRASILEIRA DE GENETICA,1.0,,,,,,,,,,,UNIVERSITY RESEARCH COUNCIL URC YSU,1.0,,
,,,,"Averianov, Alexander",1,,,,,,,,,,,LAB ECOL GEN,1.0,University Of Salford School Of Science Engineering And Environment,1.0,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,1.0,,,,,,,,,,,,,,
,,,,"Costa, Leonora Pires",1,,,,,,,,,,,LOUISIANA STATE UNIVERSITY,1.0,University Of Zurich Faculty Of Science,1.0,TERRE ET LA VIE REVUE D ECOLOGIE APPLIQUEE,1.0,,,,,,,,,,,,,,
,,,,"Lazar, Ana",1,,,,,,,,,,,LOUISIANA STATE UNIVERSITY SYSTEM,1.0,University Of Zurich Palaeontological Institute And Museum,1.0,TROPICAL FORESTS OF THE GUIANA SHIELD ANCIENT FORESTS IN A MODERN WORLD,1.0,,,,,,,,,,,,,,
,,,,"Farias, Izeni Pires",1,,,,,,,,,,,MUSEO ARGENTINO DE CIENCIAS NATURALES BERNARDINO RIVADAVIA MACN,1.0,Youngstown State University College Of Science Technology Engineering And Mathematics,1.0,ZOOLOGIA,1.0,,,,,,,,,,,,,,
,,,,"Nunes, Mario S",1,,,,,,,,,,,NATL MUSEUM NAT HIST,1.0,Youngstown State University Department Of Biological Sciences,1.0,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,1.0,,,,,,,,,,,,,,
,,,,"Simmen, Bruno",1,,,,,,,,,,,NORTHEAST OHIO MEDICAL UNIVERSITY NEOMED,1.0,,,ZOOLOGISCHER ANZEIGER,1.0,,,,,,,,,,,,,,
,,,,"Silva, Wesley Rodrigues",1,,,,,,,,,,,NUCLEO REG ACRE,1.0,,,ZOOLOGY,1.0,,,,,,,,,,,,,,
,,,,"Gazeta, Gilberto S",1,,,,,,,,,,,NYCEP,1.0,,,,,,,,,,,,,,,,,,
,,,,"Oliveira, Leonardo",1,,,,,,,,,,,OHIO STATE UNIVERSITY,1.0,,,,,,,,,,,,,,,,,,
,,,,"Hunt, David M",1,,,,,,,,,,,PONTIFICIA UNIV CATOLICA RIO DE JANEIRO,1.0,,,,,,,,,,,,,,,,,,
,,,,"Forget, Pierre-Michel A. A.",1,,,,,,,,,,,QUINNIPIAC UNIVERSITY,1.0,,,,,,,,,,,,,,,,,,
,,,,"Crouzeilles, Renato",1,,,,,,,,,,,RUSSIAN ACADEMY OF SCIENCES,1.0,,,,,,,,,,,,,,,,,,
,,,,"Duarte Ritter, CAMILA",1,,,,,,,,,,,SECRETARIA ESTADO MEIO A DS,1.0,,,,,,,,,,,,,,,,,,
,,,,"Marinho-Filho, Jader",1,,,,,,,,,,,STATE UNIVERSITY SYSTEM OF FLORIDA,1.0,,,,,,,,,,,,,,,,,,
,,,,"Mills, Morena",1,,,,,,,,,,,TEXAS BIOMEDICAL RESEARCH INSTITUTE,1.0,,,,,,,,,,,,,,,,,,
,,,,"Fleck, David W",1,,,,,,,,,,,TIRIMBINA BIOL RESERVE,1.0,,,,,,,,,,,,,,,,,,
,,,,"Lemos, Bernardo",1,,,,,,,,,,,UNITED STATES DEPARTMENT OF AGRICULTURE USDA,1.0,,,,,,,,,,,,,,,,,,
,,,,"Peterson, Jennifer K",1,,,,,,,,,,,UNIVERSIDAD COSTA RICA,1.0,,,,,,,,,,,,,,,,,,
,,,,"Martinez, Darwin Manuel Morales",1,,,,,,,,,,,UNIVERSIDAD DE CALDAS,1.0,,,,,,,,,,,,,,,,,,
