Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
2005.0,9.0,,,"DEANE, M",7,Medicine Research Experimental,8.0,3.220 Smell & Taste Science,4.0,1.43.135 Neuropathic Pain,4.0,,,,,UNIVERSITY OF FLORIDA,9,Yale University School Of Public Health,3,BRAIN BEHAVIOR AND EVOLUTION,5,,,JAPAN,4.0,Revista De Biologia Tropical,6,Genetics Heredity,8.0,,,FONACIT,2,,,,,,
2004.0,2.0,,,"Morocoima, Antonio",6,Physiology,8.0,1.148 Medical Mycology,3.0,1.7.203 Visual Perception,4.0,,,,,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD,8,Bangor University College Of Environmental Sciences And Engineering,2,JOURNAL OF ANATOMY,5,,,PERU,4.0,Acad Brasileira De Ciencias,5,Physiology,8.0,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MATO GROSSO FAPEMAT,2,,,,,,
2003.0,7.0,,,"Roque, André Luiz Rodrigues",6,Agriculture Multidisciplinary,7.0,1.195 Neuroendocrine & Intestinal Disorders,3.0,1.81.176 Male Fertility,4.0,,,,,UNIV CARABOBO,8,Costa Rica University Clodomiro Picado Institute,2,JOURNAL OF MEDICAL ENTOMOLOGY,5,,,SCOTLAND,4.0,Brazilian Coll Veterinary Parasitology,5,Research Experimental Medicine,8.0,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,2,,,,,,
2002.0,12.0,,,"Naiff, R",5,Agronomy,6.0,1.137 Sleep Science & Circadian Systems,2.0,3.64.34 Phylogenetic Relationships,4.0,,,,,UNIVERSITY OF GEORGIA,8,Federal University Of Ceara Faculty Of Medicine,2,JOURNAL OF MORPHOLOGY,5,,,SWITZERLAND,4.0,Walter De Gruyter,5,Behavioral Sciences,6.0,,,NATIONAL EPIDEMIOLOGICAL INSTITUTE OF THE WESTERN AMAZON REGION INSTITUTO NACIONAL DE EPIDEMIOLOGIA NA AMAZONIA OCIDENTAL INCT EPIAMO,2,,,,,,
2001.0,18.0,,,"Adler, G",5,Behavioral Sciences,6.0,1.203 Neuromuscular Disorders,2.0,3.64.612 Pollination,4.0,,,,,UNIVERSITY OF WISCONSIN SYSTEM,7,Federal University Of Rio De Janeiro Institute Of Biology,2,JOURNAL OF WILDLIFE DISEASES,5,,,URUGUAY,4.0,"Wildlife Disease Assoc, Inc",5,Endocrinology Metabolism,6.0,,,NIH FOGARTY INTERNATIONAL CENTER FIC,2,,,,,,
2000.0,11.0,,,"Feliciangeli, Maria D.",5,Endocrinology Metabolism,6.0,1.246 Diarrheal Diseases,2.0,3.64.71 Genetic Diversity,4.0,,,,,INSTITUTO BUTANTAN,6,Georgia Southern University College Of Science And Mathematics,2,MAMMALIA,5,,,PARAGUAY,3.0,Helminthological Soc Washington,4,Immunology,6.0,,,NIH NATIONAL CENTER FOR RESEARCH RESOURCES NCRR,2,,,,,,
1999.0,12.0,,,"Ceballos, Claudia P.",5,Immunology,6.0,1.42 Bacteriology,2.0,1.127.87 Nitric Oxide Roles,3.0,,,,,INSTITUTO NACIONAL DE SALUD COLOMBIA,6,Georgia Southern University Department Of Biology,2,PARASITOLOGY RESEARCH,5,,,PORTUGAL,3.0,Pensoft Publishers,4,Reproductive Biology,6.0,,,NIH NATIONAL HEART LUNG BLOOD INSTITUTE NHLBI,2,,,,,,
1998.0,10.0,,,"Travi, Bruno L. L.",5,Reproductive Biology,6.0,1.82 Gait & Posture,2.0,1.148.931 Fungal Pathogenesis,3.0,,,,,NATIONAL INSTITUTES OF HEALTH NIH USA,6,Ohio State University Medical Center,2,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,5,,,BOLIVIA,2.0,Tropical Agriculture,4,Ophthalmology,5.0,,,PROGRAMA DE APOYO A PROYECTOS DE INVESTIGACION E INNOVACION TECNOLOGICA PAPIIT,2,,,,,,
1997.0,9.0,,,"RAMIREZ, JUAN DAVID",5,Agriculture Dairy Animal Science,5.0,3.32 Entomology,2.0,1.228.200 Mosquito-borne Viruses,3.0,,,,,UNIVERSIDAD NACIONAL COSTA RICA,6,Ohio University Department Of Biomedical Sciences,2,JOURNAL OF NEUROCYTOLOGY,4,,,DENMARK,2.0,"Univ Antioquia, Fac Ciencias Agrarias",4,Psychology,5.0,,,PROJECT FONACIT,2,,,,,,
1996.0,10.0,,,"Tardieu, Laura",5,Ophthalmology,5.0,8.305 Paleontology,2.0,3.220.1242 Taste Perception,3.0,,,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,6,Ohio University Heritage College Of Osteopathic Medicine,2,JOURNAL OF REPRODUCTION AND FERTILITY,4,,,GUATEMALA,2.0,Empresa Brasil Pesq Agropec,3,Anthropology,4.0,,,R K MELLON NORTH AMERICAN MAMMAL RESEARCH INSTITUTE,2,,,,,,
