Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
,,,,"Marinho-Filho, Jader",3,Endocrinology Metabolism,1.0,,,3.64.864 Evolutionary Dynamics,1.0,,,,,UNIVERSIDAD NACIONAL DE CHILECITO UNDEC,2,Institute Of Immunological And Physiopathological Studies,1.0,CANADIAN JOURNAL OF ZOOLOGY,1.0,,,,,KnowledgeWorks Global Ltd-KGL,1.0,Forestry,1.0,,,APOIO A PROJETOS DE PESQUISA CHAMADA MCTI CNPQ,1,,
,,,,"Gurgel-Goncalves, Rodrigo",3,Evolutionary Biology,1.0,,,,,,,,,UNIVERSIDADE ESTADUAL DE CAMPINAS,2,Institute Of Marine And Coastal Research,1.0,COMMUNITY ECOLOGY,1.0,,,,,"Mary Ann Liebert, Inc",1.0,Immunology,1.0,,,BOLSA DE PRODUTIVIDADE EM PESQUISAS,1,,
,,,,"Briani, D. C.",3,Forestry,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,2,Massey University College Of Sciences,1.0,CYTOGENETIC AND GENOME RESEARCH,1.0,,,,,Polish Acad Sciences,1.0,Life Sciences Biomedicine Other Topics,1.0,,,BRAZILIAN CONSELHO NACIONAL DE PESQUISA CNPQ NATIONAL RESEARCH COUNCIL,1,,
,,,,"Palma, Alexandre",3,Immunology,1.0,,,,,,,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,2,Massey University Molecular Epidemiology And Public Health Laboratory,1.0,ECOSPHERE,1.0,,,,,Revista Biota Neotropica,1.0,,,,,BRAZILIAN CONSELHO NACIONAL DE PESQUISA LONG TERM ECOLOGICAL RESEARCH PROGRAM PELD CNPQ,1,,
,,,,"Couturier-Tarrade, Anne",3,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SAO CARLOS,2,Massey University School Of Veterinary Science,1.0,EPIDEMIOLOGY AND INFECTION,1.0,,,,,Revista Pesquisa Veterinaria Brasileira,1.0,,,,,CESAM CENTRE FOR ENVIRONMENTAL AND MARINE STUDIES,1,,
,,,,"Costa, Natalia",3,,,,,,,,,,,UNIVERSIDADE FEDERAL DO PARA,2,Maynooth University Department Of Mathematics And Statistics,1.0,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,1.0,,,,,Soc Brasileira Paleontologia,1.0,,,,,CNPQ NATIONAL CONSEIL OF SCIENTIFIC DEVELOPMENT AND TECHNOLOGY,1,,
,,,,"Gonçalves, Pablo R",3,,,,,,,,,,,UNIVERSIDADE FEDERAL DO PARANA,2,Maynooth University Faculty Of Science And Engineering,1.0,GLOBAL CHANGE BIOLOGY,1.0,,,,,Zoological Soc Japan,1.0,,,,,CNPQ PAPES FIOCRUZ V BRAZIL,1,,
,,,,"Rosa, Clarissa",3,,,,,,,,,,,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARA,2,National University Of La Plata Faculty Of Exact Sciences,1.0,GLOBAL ECOLOGY AND CONSERVATION,1.0,,,,,,,,,,,CNPQ PAPES FIOCRUZ VI BRAZIL,1,,
,,,,"Magnusson, William Ernest",3,,,,,,,,,,,UNIVERSITE PARIS CITE,2,National University Of Tucuman Faculty Of Natural Sciences And Institute Miguel Lillo,1.0,INFECTION GENETICS AND EVOLUTION,1.0,,,,,,,,,,,CONSEJO DE INVESTIGACIONES DE LA UNIVERSIDAD NACIONAL DE TUCUMAN CIUNT,1,,
,,,,"Silva, Raquel R",3,,,,,,,,,,,UNIVERSITE PARIS SACLAY,2,Universidade De Sao Paulo Departamento De Ciencias Exatas,1.0,INTERNATIONAL JOURNAL OF GENOMICS,1.0,,,,,,,,,,,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ AGENCY,1,,
,,,,"Limongi, Jean",3,,,,,,,,,,,UNIVERSITY OF GLASGOW,2,Universidade De Sao Paulo Departamento De Parasitologia,1.0,INTERNATIONAL JOURNAL OF WILDLAND FIRE,1.0,,,,,,,,,,,COORDENACO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR,1,,
